s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1000,1.5369480000000029,1.671969600000003,1.6058952000000029,1.640368800000003,1.5857856000000028,1.565676000000003,1.6805880000000029,1.6116408000000029,1.5742944000000028,1.669096800000003,1.683460800000003,1.5829128000000028,1.5283296000000028,1.6145136000000029,1.5628032000000027,1.660478400000003,1.5771672000000028,1.6173864000000029,1.5426936000000029,1.694952000000003,1.620259200000003,1.594404000000003,1.565676000000003,1.5197112000000026,1.5972768000000028,1.6116408000000029,1.565676000000003,1.5426936000000029,1.5628032000000027,1.683460800000003,1.5829128000000028,1.663351200000003,1.5742944000000028,1.654732800000003,1.551312000000003,1.5484392000000027,1.6087680000000029,1.660478400000003,1.5829128000000028,1.5082200000000028,1.6662240000000028,1.646114400000003,1.5714216000000027,1.634623200000003,1.5628032000000027,1.6087680000000029,1.5484392000000027,1.6087680000000029,1.5714216000000027,1.4823648000000025,1.5110928000000026,1.669096800000003,1.6173864000000029,1.5915312000000028,1.646114400000003,1.620259200000003,1.6087680000000029,1.5685488000000027,1.5340752000000026,1.634623200000003,1.671969600000003,1.6145136000000029,1.5484392000000027,1.5886584000000028,1.5110928000000026,1.580040000000003,1.5628032000000027,1.5829128000000028,1.620259200000003,1.5886584000000028,1.654732800000003,1.5197112000000026,1.6058952000000029,1.6231320000000027,1.580040000000003,1.5426936000000029,1.6030224000000028,1.5110928000000026,1.5915312000000028,1.5771672000000028,1.6173864000000029,1.6058952000000029,1.594404000000003,1.6374960000000027,1.565676000000003,1.626004800000003,1.6087680000000029,1.557057600000003,1.6001496000000028,1.594404000000003,1.5714216000000027,1.6116408000000029,1.6058952000000029,1.4938560000000027,1.6173864000000029,1.551312000000003,1.594404000000003,1.5714216000000027,1.634623200000003,1.4967288000000025
2000,1.5771672000000028,1.601586000000003,1.5527484000000027,1.6159500000000029,1.6231320000000027,1.549875600000003,1.5628032000000027,1.5470028000000027,1.565676000000003,1.5312024000000026,1.6303140000000027,1.5915312000000028,1.5398208000000027,1.5929676000000028,1.557057600000003,1.5972768000000028,1.6030224000000028,1.5556212000000027,1.5814764000000028,1.6030224000000028,1.5814764000000028,1.5556212000000027,1.5369480000000029,1.6044588000000028,1.5757308000000028,1.551312000000003,1.6159500000000029,1.5857856000000028,1.6030224000000028,1.638932400000003,1.6590420000000028,1.643241600000003,1.5671124000000027,1.580040000000003,1.5685488000000027,1.5225840000000028,1.594404000000003,1.6173864000000029,1.6001496000000028,1.5699852000000027,1.5972768000000028,1.6145136000000029,1.5900948000000028,1.5326388000000026,1.5886584000000028,1.5786036000000028,1.5671124000000027,1.618822800000003,1.6073316000000029,1.601586000000003,1.6116408000000029,1.6231320000000027,1.5900948000000028,1.5771672000000028,1.6001496000000028,1.6102044000000029,1.5628032000000027,1.557057600000003,1.5857856000000028,1.4881104000000027,1.6058952000000029,1.6173864000000029,1.621695600000003,1.620259200000003,1.6173864000000029,1.594404000000003,1.5685488000000027,1.6446780000000027,1.5958404000000028,1.587222000000003,1.5829128000000028,1.5900948000000028,1.5484392000000027,1.580040000000003,1.6102044000000029,1.638932400000003,1.5599304000000027,1.572858000000003,1.6001496000000028,1.5283296000000028,1.5958404000000028,1.5843492000000028,1.5699852000000027,1.626004800000003,1.5283296000000028,1.5900948000000028,1.5426936000000029,1.6058952000000029,1.5283296000000028,1.549875600000003,1.648987200000003,1.621695600000003,1.572858000000003,1.5628032000000027,1.572858000000003,1.628877600000003,1.6173864000000029,1.5786036000000028,1.6159500000000029,1.5829128000000028
3000,1.5848280000000028,1.6058952000000029,1.5302448000000028,1.623132000000003,1.586743200000003,1.5934464000000028,1.5809976000000028,1.5465240000000027,1.623132000000003,1.5666336000000027,1.587700800000003,1.5417360000000027,1.6106832000000029,1.558015200000003,1.5819552000000028,1.5924888000000028,1.5924888000000028,1.5809976000000028,1.6135560000000029,1.6039800000000028,1.5532272000000027,1.6116408000000029,1.5656760000000027,1.6355808000000032,1.6078104000000026,1.639411200000003,1.6173864000000027,1.6087680000000029,1.5628032000000027,1.6154712000000029,1.5857856000000028,1.6547328000000028,1.587700800000003,1.5714216000000027,1.5809976000000028,1.6125984000000029,1.625047200000003,1.558015200000003,1.6030224000000028,1.558972800000003,1.5915312000000028,1.6145136000000029,1.5359904000000026,1.5991920000000028,1.587700800000003,1.621216800000003,1.5915312000000028,1.6097256000000029,1.6154712000000029,1.5379056000000029,1.5838704000000028,1.6011072000000028,1.5733368000000028,1.5513120000000027,1.5915312000000028,1.596319200000003,1.6154712000000029,1.5426936000000027,1.5896160000000028,1.5838704000000028,1.5742944000000028,1.5714216000000027,1.5838704000000028,1.569506400000003,1.5426936000000027,1.5829128000000028,1.5618456000000027,1.6078104000000026,1.579082400000003,1.5924888000000028,1.5618456000000027,1.5800400000000028,1.5177960000000028,1.6011072000000028,1.5982344000000026,1.5829128000000028,1.586743200000003,1.588658400000003,1.588658400000003,1.579082400000003,1.6260048000000031,1.5905736000000028,1.5647184000000027,1.5982344000000026,1.5752520000000028,1.6145136000000029,1.5608880000000027,1.5312024000000029,1.625047200000003,1.5752520000000028,1.6374960000000027,1.5953616000000028,1.577167200000003,1.6078104000000026,1.578124800000003,1.597276800000003,1.628877600000003,1.5915312000000028,1.5273720000000026,1.5666336000000027
4000,1.600867800000003,1.5893766000000027,1.5347934000000027,1.5556212000000027,1.6087680000000029,1.608049800000003,1.5426936000000029,1.6231320000000027,1.5886584000000028,1.6001496000000028,1.608049800000003,1.5900948000000028,1.622413800000003,1.5786036000000028,1.5972768000000028,1.6044588000000028,1.592249400000003,1.6324686000000028,1.612359000000003,1.601586000000003,1.5721398000000029,1.5793218000000029,1.558494000000003,1.572858000000003,1.5843492000000028,1.6159500000000029,1.5929676000000028,1.5814764000000028,1.5879402000000027,1.5886584000000028,1.5714216000000027,1.5764490000000029,1.5886584000000028,1.5793218000000029,1.5750126000000026,1.5843492000000028,1.5642396000000027,1.5821946000000027,1.5606486000000026,1.6044588000000028,1.6181046000000028,1.6102044000000029,1.6023042000000027,1.640368800000003,1.6116408000000029,1.599431400000003,1.5793218000000029,1.558494000000003,1.6145136000000029,1.5929676000000028,1.5599304000000027,1.5829128000000028,1.5829128000000028,1.600867800000003,1.565676000000003,1.587222000000003,1.600867800000003,1.5915312000000028,1.6145136000000029,1.608049800000003,1.6102044000000029,1.6001496000000028,1.5326388000000026,1.5857856000000028,1.6030224000000028,1.6001496000000028,1.5606486000000026,1.585067400000003,1.6087680000000029,1.6116408000000029,1.5750126000000026,1.6023042000000027,1.5987132000000028,1.605177000000003,1.622413800000003,1.622413800000003,1.5821946000000027,1.5527484000000027,1.5635214000000028,1.6130772000000029,1.5900948000000028,1.5972768000000028,1.5886584000000028,1.6303140000000027,1.585067400000003,1.5771672000000028,1.5663942000000026,1.608049800000003,1.5628032000000027,1.5879402000000027,1.557057600000003,1.613795400000003,1.5663942000000026,1.6166682000000028,1.557057600000003,1.5714216000000027,1.565676000000003,1.6030224000000028,1.5599304000000027,1.628159400000003
5000,1.6058952000000029,1.5817636800000028,1.5679742400000027,1.563952320000003,1.5553339200000027,1.6064697600000029,1.5984259200000028,1.6110662400000029,1.5823382400000028,1.5903820800000028,1.6122153600000029,1.5788908800000028,1.6093425600000029,1.5944040000000028,1.6087680000000029,1.5921057600000028,1.5788908800000028,1.5961276800000028,1.6145136000000029,1.580614560000003,1.5921057600000028,1.6018732800000028,1.5622286400000027,1.5587812800000027,1.6145136000000029,1.5949785600000028,1.5909566400000028,1.6018732800000028,1.6041715200000028,1.619684640000003,1.5990004800000028,1.618535520000003,1.5725707200000028,1.5679742400000027,1.5880838400000028,1.5777417600000028,1.5875092800000028,1.5593558400000027,1.5656760000000027,1.6173864000000029,1.5978513600000028,1.619110080000003,1.6030224000000028,1.6122153600000029,1.628303040000003,1.5673996800000027,1.5961276800000028,1.586360160000003,1.5673996800000027,1.569697920000003,1.6018732800000028,1.6162372800000029,1.5834873600000028,1.618535520000003,1.5340752000000029,1.5507374400000027,1.5984259200000028,1.5783163200000028,1.575443520000003,1.5788908800000028,1.6012987200000028,1.6168118400000029,1.5898075200000028,1.551886560000003,1.623132000000003,1.5811891200000028,1.5840619200000028,1.5892329600000028,1.6116408000000029,1.6030224000000028,1.5731452800000028,1.580614560000003,1.627728480000003,1.5783163200000028,1.5599304000000027,1.5708470400000027,1.6024478400000028,1.5909566400000028,1.586360160000003,1.632324960000003,1.6139390400000029,1.5605049600000027,1.5938294400000028,1.6093425600000029,1.5811891200000028,1.5605049600000027,1.6030224000000028,1.563377760000003,1.6162372800000029,1.574868960000003,1.5921057600000028,1.5771672000000028,1.5915312000000028,1.580614560000003,1.626579360000003,1.5949785600000028,1.5484392000000027,1.6104916800000029,1.5277550400000028,1.5794654400000028
6000,1.5671124000000027,1.5958404000000028,1.5637608000000027,1.5910524000000028,1.592010000000003,1.5848280000000028,1.5905736000000028,1.5948828000000028,1.5967980000000028,1.5838704000000028,1.6087680000000029,1.6145136000000029,1.5891372000000028,1.5944040000000028,1.5819552000000028,1.554663600000003,1.634623200000003,1.5541848000000027,1.5924888000000028,1.619780400000003,1.587700800000003,1.636059600000003,1.6039800000000028,1.6001496000000028,1.5924888000000028,1.625047200000003,1.579082400000003,1.569506400000003,1.6063740000000029,1.6063740000000029,1.5910524000000028,1.5479604000000027,1.6149924000000029,1.579082400000003,1.5757308000000028,1.5857856000000028,1.5709428000000027,1.5786036000000028,1.5881796000000028,1.5829128000000028,1.5647184000000027,1.6030224000000028,1.6140348000000029,1.6183440000000027,1.5915312000000028,1.5714216000000027,1.6020648000000028,1.6087680000000029,1.5982344000000026,1.568548800000003,1.5762096000000028,1.625526000000003,1.572858000000003,1.6082892000000029,1.5991920000000028,1.592967600000003,1.5944040000000028,1.6001496000000028,1.567591200000003,1.5848280000000028,1.5795612000000028,1.5948828000000028,1.5958404000000028,1.5723792000000028,1.592010000000003,1.563282000000003,1.5987132000000028,1.5900948000000028,1.629835200000003,1.5977556000000028,1.5618456000000027,1.6073316000000029,1.611162000000003,1.5805188000000028,1.6082892000000029,1.5881796000000028,1.5891372000000028,1.5829128000000028,1.6207380000000031,1.5967980000000028,1.597276800000003,1.5905736000000028,1.586743200000003,1.571900400000003,1.578124800000003,1.6044588000000028,1.5939252000000028,1.573815600000003,1.6116408000000029,1.564239600000003,1.5991920000000028,1.5843492000000028,1.5953616000000028,1.5690276000000027,1.5944040000000028,1.582434000000003,1.5891372000000028,1.5862644000000028,1.5872220000000028,1.5699852000000027
7000,1.610409600000003,1.563624000000003,1.5730632000000029,1.5673176000000029,1.5923520000000029,1.5623928000000027,1.5644448000000026,1.612051200000003,1.590300000000003,1.593993600000003,1.6026120000000028,1.5825024000000028,1.5648552000000029,1.5997392000000028,1.5825024000000028,1.5623928000000027,1.5595200000000027,1.6054848000000028,1.587427200000003,1.584964800000003,1.646935200000003,1.6493976000000028,1.5853752000000028,1.600149600000003,1.5726528000000026,1.648987200000003,1.601380800000003,1.598508000000003,1.6333920000000028,1.6116408000000029,1.5935832000000028,1.5747048000000028,1.601380800000003,1.567728000000003,1.5972768000000028,1.5734736000000027,1.6169760000000029,1.5845544000000027,1.610409600000003,1.598097600000003,1.5898896000000027,1.6034328000000029,1.591941600000003,1.596045600000003,1.590300000000003,1.5742944000000028,1.571832000000003,1.6050744000000028,1.5927624000000027,1.5804504000000028,1.6198488000000029,1.5660864000000028,1.5894792000000029,1.5861960000000028,1.5972768000000028,1.587427200000003,1.5878376000000027,1.5459768000000027,1.612461600000003,1.6116408000000029,1.5726528000000026,1.571011200000003,1.611230400000003,1.5673176000000029,1.598508000000003,1.5894792000000029,1.6026120000000028,1.5890688000000028,1.584964800000003,1.5837336000000029,1.5796296000000027,1.610409600000003,1.5976872000000029,1.5894792000000029,1.5894792000000029,1.5775776000000028,1.6058952000000029,1.5825024000000028,1.6017912000000027,1.5886584000000028,1.590300000000003,1.627646400000003,1.610409600000003,1.5898896000000027,1.6198488000000029,1.6083576000000028,1.5861960000000028,1.5550056000000028,1.5935832000000028,1.5808608000000026,1.602201600000003,1.5861960000000028,1.5853752000000028,1.613282400000003,1.6058952000000029,1.5755256000000029,1.6030224000000028,1.5890688000000028,1.5714216000000027,1.5763464000000027
8000,1.5796809000000027,1.5843492000000028,1.594404000000003,1.599431400000003,1.5645987000000028,1.5918903000000026,1.5954813000000028,1.5671124000000027,1.588299300000003,1.6055361000000028,1.592249400000003,1.5832719000000028,1.6130772000000029,1.5814764000000028,1.5588531000000028,1.6058952000000029,1.5642396000000027,1.5976359000000029,1.6130772000000029,1.5875811000000029,1.603381500000003,1.5760899000000028,1.6023042000000027,1.6102044000000029,1.605177000000003,1.6055361000000028,1.575371700000003,1.5685488000000027,1.6062543000000027,1.5918903000000026,1.5796809000000027,1.6170273000000028,1.581117300000003,1.6073316000000029,1.5857856000000028,1.5886584000000028,1.5929676000000028,1.5620850000000028,1.599431400000003,1.5818355000000028,1.600867800000003,1.5689079000000028,1.594404000000003,1.582553700000003,1.609127100000003,1.5965586000000027,1.586503800000003,1.6145136000000029,1.5843492000000028,1.5961995000000029,1.6181046000000028,1.5678306000000026,1.607690700000003,1.6094862000000028,1.601586000000003,1.590813000000003,1.5760899000000028,1.603381500000003,1.6109226000000028,1.5642396000000027,1.6001496000000028,1.603381500000003,1.5412572000000027,1.5972768000000028,1.5854265000000027,1.592249400000003,1.5714216000000027,1.5958404000000028,1.5649578000000028,1.5724989000000027,1.601945100000003,1.5958404000000028,1.5649578000000028,1.596917700000003,1.5782445000000027,1.5854265000000027,1.5742944000000028,1.612359000000003,1.6058952000000029,1.5645987000000028,1.583631000000003,1.5793218000000029,1.583990100000003,1.5724989000000027,1.585067400000003,1.5760899000000028,1.5961995000000029,1.629595800000003,1.5983541000000028,1.5663942000000026,1.589735700000003,1.5954813000000028,1.592249400000003,1.5879402000000027,1.5886584000000028,1.5918903000000026,1.6087680000000029,1.5742944000000028,1.5900948000000028,1.5857856000000028
9000,1.5877008000000028,1.615790400000003,1.5529080000000026,1.5960000000000027,1.5848280000000028,1.602384000000003,1.5612072000000028,1.6132368000000028,1.5829128000000028,1.6106832000000029,1.5953616000000028,1.5931272000000027,1.6087680000000029,1.5931272000000027,1.5628032000000027,1.5778056000000027,1.6039800000000028,1.5915312000000028,1.5867432000000028,1.5861048000000029,1.547481600000003,1.5880200000000029,1.5908928000000029,1.595042400000003,1.595680800000003,1.5883392000000027,1.584508800000003,1.5972768000000028,1.597915200000003,1.5975960000000027,1.596319200000003,1.6087680000000029,1.5790824000000028,1.5675912000000027,1.584508800000003,1.611002400000003,1.587381600000003,1.597915200000003,1.5561000000000027,1.5762096000000028,1.5541848000000027,1.584508800000003,1.6074912000000028,1.5819552000000028,1.5969576000000028,1.5813168000000026,1.5905736000000028,1.586424000000003,1.6103640000000028,1.6068528000000029,1.5736560000000028,1.5988728000000028,1.5695064000000027,1.571102400000003,1.5870624000000029,1.5803592000000029,1.6208976000000028,1.570144800000003,1.595042400000003,1.6004688000000027,1.6173864000000029,1.5733368000000028,1.619940000000003,1.5886584000000028,1.598553600000003,1.5998304000000028,1.605256800000003,1.6145136000000029,1.5912120000000027,1.6116408000000029,1.611960000000003,1.5934464000000028,1.5991920000000028,1.6189824000000028,1.609087200000003,1.5912120000000027,1.5857856000000028,1.5991920000000028,1.6046184000000028,1.5691872000000027,1.604299200000003,1.5656760000000027,1.618663200000003,1.5666336000000027,1.5841896000000026,1.6020648000000028,1.580040000000003,1.5841896000000026,1.604299200000003,1.609087200000003,1.5867432000000028,1.577167200000003,1.595680800000003,1.599511200000003,1.607172000000003,1.5832320000000029,1.5736560000000028,1.6068528000000029,1.5829128000000028,1.5797208000000027
10000,1.5900948000000028,1.6056079200000029,1.6079061600000029,1.5915312000000028,1.5788908800000028,1.5832000800000028,1.589520240000003,1.5809018400000028,1.5814764000000028,1.6070443200000029,1.5809018400000028,1.6090552800000029,1.6038842400000028,1.5774544800000028,1.5777417600000028,1.5906693600000028,1.5817636800000028,1.6136517600000029,1.6030224000000028,1.5846364800000028,1.5909566400000028,1.5803272800000028,1.6070443200000029,1.5998623200000028,1.5990004800000028,1.6162372800000029,1.6081934400000029,1.545566400000003,1.5788908800000028,1.6010114400000028,1.5832000800000028,1.5852110400000028,1.586360160000003,1.5946912800000028,1.5673996800000027,1.5898075200000028,1.5820509600000028,1.5751562400000028,1.5998623200000028,1.574868960000003,1.5900948000000028,1.5561957600000027,1.5961276800000028,1.5923930400000028,1.595265840000003,1.5809018400000028,1.569697920000003,1.6116408000000029,1.6050333600000029,1.5872220000000028,1.622844720000003,1.5656760000000027,1.5765926400000028,1.5961276800000028,1.5817636800000028,1.5921057600000028,1.5846364800000028,1.5791781600000028,1.5889456800000028,1.5745816800000028,1.5955531200000028,1.5777417600000028,1.5935421600000028,1.6067570400000029,1.5866474400000028,1.5875092800000028,1.5964149600000028,1.5978513600000028,1.5783163200000028,1.5869347200000028,1.5926803200000028,1.5866474400000028,1.5843492000000028,1.5869347200000028,1.5742944000000028,1.5860728800000028,1.5834873600000028,1.5880838400000028,1.5846364800000028,1.5725707200000028,1.5900948000000028,1.5998623200000028,1.5636650400000027,1.5975640800000028,1.5918184800000028,1.5972768000000028,1.5771672000000028,1.5685488000000027,1.620546480000003,1.5987132000000028,1.5984259200000028,1.595265840000003,1.5711343200000027,1.5889456800000028,1.569697920000003,1.6110662400000029,1.5860728800000028,1.5794654400000028,1.586360160000003,1.6030224000000028
11000,1.6205203636363665,1.5902253818181846,1.5829128000000028,1.610073818181821,1.5816069818181846,1.6231320000000027,1.5549682909090936,1.5847409454545482,1.5797788363636391,1.6142524363636392,1.5656760000000027,1.565414836363639,1.5779506909090937,1.595709818181821,1.6105961454545485,1.6004107636363663,1.5936205090909121,1.5938816727272755,1.604328218181821,1.5839574545454576,1.5742944000000028,1.5844797818181846,1.5897030545454576,1.5466110545454572,1.585002109090912,1.5695934545454573,1.5889195636363667,1.6004107636363663,1.5787341818181846,1.5873525818181846,1.6038058909090938,1.5787341818181846,1.5962321454545483,1.5930981818181846,1.5839574545454576,1.59205352727273,1.5897030545454576,1.5779506909090937,1.5703769454545482,1.59779912727273,1.5769060363636391,1.5829128000000028,1.58918072727273,1.5839574545454576,1.5912700363636392,1.5910088727272755,1.5651536727272757,1.5946651636363662,1.5784730181818212,1.56907112727273,1.6027612363636392,1.5810846545454575,1.5883972363636392,1.5675041454545482,1.621565018181821,1.6038058909090938,1.5878749090909121,1.6074621818181847,1.5873525818181846,1.5753390545454573,1.58056232727273,1.5847409454545482,1.59205352727273,1.6126854545454572,1.5904865454545483,1.5876137454545483,1.5688099636363666,1.5988437818181847,1.6074621818181847,1.5675041454545482,1.57481672727273,1.6074621818181847,1.582129309090912,1.5638478545454573,1.5936205090909121,1.6286164363636393,1.5962321454545483,1.5852632727272755,1.60067192727273,1.58343512727273,1.5923146909090937,1.5831739636363666,1.5716827636363666,1.6077233454545483,1.5750778909090937,1.5774283636363666,1.6202592000000027,1.5826516363636391,1.6035447272727301,1.5930981818181846,1.5766448727272755,1.5784730181818212,1.5933593454545483,1.5897030545454576,1.5936205090909121,1.585002109090912,1.5844797818181846,1.5946651636363662,1.58630792727273,1.5839574545454576
12000,1.579082400000003,1.5587334000000028,1.605655800000003,1.5862644000000028,1.5862644000000028,1.5924888000000028,1.582434000000003,1.5651972000000027,1.5774066000000027,1.6054164000000029,1.591770600000003,1.588419000000003,1.5819552000000028,1.590813000000003,1.5628032000000027,1.6054164000000029,1.5941646000000027,1.588658400000003,1.585546200000003,1.5793218000000027,1.5793218000000027,1.607571000000003,1.6027830000000027,1.5735762000000029,1.600389000000003,1.5829128000000028,1.5912918000000027,1.5628032000000027,1.6133166000000028,1.5982344000000026,1.5953616000000028,1.5649578000000028,1.6030224000000028,1.5869826000000027,1.567591200000003,1.6142742000000028,1.6080498000000027,1.5809976000000028,1.578124800000003,1.5967980000000028,1.5838704000000028,1.5915312000000028,1.588419000000003,1.6092468000000029,1.6063740000000029,1.5848280000000028,1.5592122000000026,1.606852800000003,1.606852800000003,1.6018254000000027,1.603261800000003,1.587700800000003,1.594643400000003,1.588419000000003,1.5922494000000027,1.6092468000000029,1.6114014000000028,1.5709428000000027,1.5872220000000028,1.5802794000000027,1.585067400000003,1.620259200000003,1.605655800000003,1.620498600000003,1.581476400000003,1.5891372000000028,1.585546200000003,1.5915312000000028,1.5965586000000027,1.6001496000000028,1.6219350000000028,1.586025000000003,1.618104600000003,1.572858000000003,1.5714216000000027,1.5666336000000027,1.586743200000003,1.588419000000003,1.5802794000000027,1.5697458000000026,1.599910200000003,1.596319200000003,1.5740550000000026,1.582434000000003,1.5872220000000028,1.5900948000000028,1.6159500000000029,1.5740550000000026,1.5896160000000028,1.6104438000000028,1.590813000000003,1.5984738000000027,1.599910200000003,1.5848280000000028,1.5843492000000028,1.5817158000000027,1.6149924000000029,1.597037400000003,1.601586000000003,1.583152200000003
